name,time,P1,P2,P3,P4,Total
Royal Ontario Museum,300,4,5,4.5,2,15.5
Bamboo Forest,30,4,4,4,4,16
St. Lawrence Market,120,3,5,4,5,17
Graduate Department of Pharmaceutical Sciences,30,3,4,1,3,11
Loblaws,45,2,2,1,2,7
CF Toronto Eaton Centre,150,4,4,3,3,14
Graffiti Alley,30,3,3,2,3,11
Thomas Fisher Rare Book Library,60,4,4,4,3,15
The Monkey's Paw,60,1,2,2,2,7
Little Canada,45,3,3,2.5,3,11.5
Toronto Music Garden,90,2,2,1,1,6
Kensington Market,90,3,4,1,3,11
Elgin and Winter Garden Theatre Centre,90,4,4,1,2,11
Toronto City Hall,120,4,3,4,3,14
Unionville,120,4,4,3,5,16
North York Centre,90,2,2,1,2,7
Ryerson University,60,2,2,1,2,7
Casa Loma,90,2,3,3,2,10
The Distillery Historic District,90,5,4,5,5,19
Cn tower,120,3,4,4,2,13
Scarborough Bluffs,90,3,3,4,4,14
Bata Shoe Museum,90,3,2,2,4,11
Aga Khan Museum,120,3,1,4,2,10
Ontario Science Centre,150,1,4,1,1,7
