,name,longitude,latitude,time,P1,P2,P3,P4,Total
0,Royal Ontario Museum,-79.3947771,43.6677097,300,4,5,4.5,2,15.5
1,Bamboo Forest,-79.3928725,43.6600519,30,4,4,4.0,4,16.0
2,St. Lawrence Market,-79.3715454,43.6486879,120,3,5,4.0,5,17.0
3,Graduate Department of Pharmaceutical Sciences,-79.3914693,43.6599377,30,3,4,1.0,3,11.0
4,Loblaws,-79.38016,43.661956,45,2,2,1.0,2,7.0
5,CF Toronto Eaton Centre,-79.3806994,43.6544382,150,4,4,3.0,3,14.0
6,Graffiti Alley,-79.398654,43.6475436,30,3,3,2.0,3,11.0
7,Thomas Fisher Rare Book Library,-79.3989838,43.6640736,60,4,4,4.0,3,15.0
8,The Monkey's Paw,-79.4327124,43.6603163,60,1,2,2.0,2,7.0
9,Little Canada,-79.3806585,43.6565767,45,3,3,2.5,3,11.5
10,Toronto Music Garden,-79.3946545,43.6369271,90,2,2,1.0,1,6.0
11,Kensington Market,-79.4014566,43.6545236,90,3,4,1.0,3,11.0
12,Elgin and Winter Garden Theatre Centre,-79.3793958,43.6530164,90,4,4,1.0,2,11.0
13,Toronto City Hall,-79.3840901,43.6534399,120,4,3,4.0,3,14.0
14,Unionville,-79.3106862,43.8655329,120,4,4,3.0,5,16.0
15,North York Centre,-79.4133333,43.7686111,90,2,2,1.0,2,7.0
16,Ryerson University,-79.3788017,43.6576585,60,2,2,1.0,2,7.0
17,Casa Loma,-79.4094439,43.6780371,90,2,3,3.0,2,10.0
18,The Distillery Historic District,-79.3591331,43.6502455,90,5,4,5.0,5,19.0
19,Cn tower,-79.3870568,43.6425662,120,3,4,4.0,2,13.0
20,Scarborough Bluffs,-79.2331205,43.7096725,90,3,3,4.0,4,14.0
21,Bata Shoe Museum,-79.4001806,43.6672667,90,3,2,2.0,4,11.0
22,Aga Khan Museum,-79.3322231,43.7252521,120,3,1,4.0,2,10.0
23,Ontario Science Centre,-79.3389426,43.7169404,150,1,4,1.0,1,7.0
